"Family","Amino_acid","Strain","Completeness"
"ASPARTATE FAMILY","Aspartate","HS",100
"ASPARTATE FAMILY","Aspartate","HM",100
"ASPARTATE FAMILY","Aspartate","HA",100
"ASPARTATE FAMILY","Asparagine","HS",100
"ASPARTATE FAMILY","Asparagine","HM",100
"ASPARTATE FAMILY","Asparagine","HA",100
"ASPARTATE FAMILY","Lysine (DAP)","HS",37.5
"ASPARTATE FAMILY","Lysine (DAP)","HM",87.5
"ASPARTATE FAMILY","Lysine (DAP)","HA",100
"ASPARTATE FAMILY","Threonine","HS",100
"ASPARTATE FAMILY","Threonine","HM",100
"ASPARTATE FAMILY","Threonine","HA",100
"ASPARTATE FAMILY","Isoleucine","HS",72.7272727272727
"ASPARTATE FAMILY","Isoleucine","HM",100
"ASPARTATE FAMILY","Isoleucine","HA",100
"ASPARTATE FAMILY","Methionine","HS",57.1428571428571
"ASPARTATE FAMILY","Methionine","HM",57.1428571428571
"ASPARTATE FAMILY","Methionine","HA",57.1428571428571
"GLUTAMATE FAMILY","Glutamate","HS",100
"GLUTAMATE FAMILY","Glutamate","HM",100
"GLUTAMATE FAMILY","Glutamate","HA",100
"GLUTAMATE FAMILY","Glutamine","HS",100
"GLUTAMATE FAMILY","Glutamine","HM",100
"GLUTAMATE FAMILY","Glutamine","HA",100
"GLUTAMATE FAMILY","Proline","HS",25
"GLUTAMATE FAMILY","Proline","HM",100
"GLUTAMATE FAMILY","Proline","HA",25
"GLUTAMATE FAMILY","Arginine","HS",50
"GLUTAMATE FAMILY","Arginine","HM",50
"GLUTAMATE FAMILY","Arginine","HA",50
"PYRUVATE FAMILY","Alanine","HS",0
"PYRUVATE FAMILY","Alanine","HM",0
"PYRUVATE FAMILY","Alanine","HA",0
"PYRUVATE FAMILY","Valine","HS",25
"PYRUVATE FAMILY","Valine","HM",100
"PYRUVATE FAMILY","Valine","HA",100
"PYRUVATE FAMILY","Leucine","HS",12.5
"PYRUVATE FAMILY","Leucine","HM",87.5
"PYRUVATE FAMILY","Leucine","HA",87.5
"3PG FAMILY","Serine","HS",50
"3PG FAMILY","Serine","HM",50
"3PG FAMILY","Serine","HA",50
"3PG FAMILY","Glycine","HS",66.6666666666667
"3PG FAMILY","Glycine","HM",66.6666666666667
"3PG FAMILY","Glycine","HA",66.6666666666667
"3PG FAMILY","Cysteine","HS",75
"3PG FAMILY","Cysteine","HM",75
"3PG FAMILY","Cysteine","HA",75
"AROMATIC FAMILY","Phenylalanine","HS",75
"AROMATIC FAMILY","Phenylalanine","HM",75
"AROMATIC FAMILY","Phenylalanine","HA",75
"AROMATIC FAMILY","Tyrosine","HS",75
"AROMATIC FAMILY","Tyrosine","HM",75
"AROMATIC FAMILY","Tyrosine","HA",75
"AROMATIC FAMILY","Tryptophan","HS",100
"AROMATIC FAMILY","Tryptophan","HM",100
"AROMATIC FAMILY","Tryptophan","HA",100
"HISTIDINE","Histidine","HS",87.5
"HISTIDINE","Histidine","HM",87.5
"HISTIDINE","Histidine","HA",87.5
